quote,author,category
"If my love were an ocean,there would be no more land.If my love were a desert,you would see only sand.If my love were a star-late at night, only light.And if my love could grow wings,I'd be soaring in flight.","Jay Asher, Thirteen Reasons Why",love
"Love, it never dies. It never goes away, it never fades, so long as you hang on to it. Love can make you immortal","Gayle Forman, If I Stay","heartbreak, if-i-stay, love"
"I've been in love before, it's like a narcotic. At first it brings the euphoria of complete surrender. The next day you want more. You're not addicted yet, but you like the sensation, and you think you can still control things.You think about the person you love for two minutes then forget them for three hours. But then you get used to that person, and you begin to be completely dependent on them. Now you think about him for three hours and forget him for two minutes. If he's not there, you feel like an addict who can't get a fix. And just as addicts steal and humiliate themselves to get what they need, you're willing to do anything for love.""- By the River Piedra I Sat Down and Wept",Paulo Coelho,"inspiration, life, life-lessons, love, paulo-coelho"
It's hard being left behind. (...) It's hard to be the one who stays.,"Audrey Niffenegger, The Time Traveler's Wife","being-left, love, time, waiting"
"Making love with a woman and sleeping with a woman are two separate passions, not merely different but opposite. Love does not make itself felt in the desire for copulation (a desire that extends to an infinite number of women) but in the desire for shared sleep (a desire limited to one woman).","Milan Kundera, The Unbearable Lightness of Being","love, monogamy, polygamy, sleep"
"Why are old lovers able to become friends? Two reasons. They never truly loved each other, or they love each other still.","Whitney Otto, How to Make an American Quilt","exes, friendship, love"
"and he suddenly knew that if she killed herself, he would die. Maybe not immediately, maybe not with the same blinding rush of pain, but it would happen. You couldn't live for very long without a heart.",Jodi Picoult,"death, heart, love, mourning, suicide"
"She wanted something else, something different, something more. Passion and romance, perhaps, or maybe quiet conversations in candlelit rooms, or perhaps something as simple as not being second.","Nicholas Sparks, The Notebook","love, passion, romance"
"I think I fell in love with her, a little bit. Isn't that dumb? But it was like I knew her. Like she was my oldest, dearest friend. The kind of person you can tell anything to, no matter how bad, and they'll still love you, because they know you. I wanted to go with her. I wanted her to notice me. And then she stopped walking. Under the moon, she stopped. And looked at us. She looked at me. Maybe she was trying to tell me something; I don't know. She probably didn't even know I was there. But I'll always love her. All my life.","Neil Gaiman, Worlds' End","death, friends, love"
"Moments, when lost, can't be found again. They're just gone.","Jenny Han, The Summer I Turned Pretty","bellys, love, missed-chances, romance"
"here she is, all mine, trying her best to give me all she can. How could I ever hurt her? But I didn’t understand then. That I could hurt somebody so badly she would never recover. That a person can, just by living, damage another human being beyond repair.","Haruki Murakami, South of the Border, West of the Sun","hurt, love"
"I like not only to be loved, but also to be told that I am loved. I am not sure that you are of the same mind. But the realm of silence is large enough beyond the grave. This is the world of light and speech, and I shall take leave to tell you that you are very dear.",George Eliot,love
"What are the chances you’d ever meet someone like that? he wondered. Someone you could love forever, someone who would forever love you back? And what did you do when that person was born half a world away? The math seemed impossible.","Rainbow Rowell, Eleanor & Park","love, soulmate"
"That's what real love amounts to - letting a person be what he really is. Most people love you for who you pretend to be. To keep their love, you keep pretending - performing. You get to love your pretence. It's true, we're locked in an image, an act - and the sad thing is, people get so used to their image, they grow attached to their masks. They love their chains. They forget all about who they really are. And if you try to remind them, they hate you for it, they feel like you're trying to steal their most precious possession.",Jim Morrison,"love, pretense, self-esteem, self-image, wisdom"
"I wonder if fears ever really go away, or if they just lose their power over us.","Veronica Roth, Allegiant","fear, love, power, powerful"
"In desperate love, we always invent the characters of our partners, demanding they be what we need of them, and then feeling devastated when they refuse to perform the role we created in the first place.","Elizabeth Gilbert, Eat, Pray, Love",love
"Trust no friend without faults, and love a woman, but no angel.",Doris Lessing,"friendship, love, trust"
"Usually adult males who are unable to make emotional connections with the women they choose to be intimate with are frozen in time, unable to allow themselves to love for fear that the loved one will abandon them. If the first woman they passionately loved, the mother, was not true to her bond of love, then how can they trust that their partner will be true to love. Often in their adult relationships these men act out again and again to test their partner's love. While the rejected adolescent boy imagines that he can no longer receive his mother's love because he is not worthy, as a grown man he may act out in ways that are unworthy and yet demand of the woman in his life that she offer him unconditional love. This testing does not heal the wound of the past, it merely reenacts it, for ultimately the woman will become weary of being tested and end the relationship, thus reenacting the abandonment. This drama confirms for many men that they cannot put their trust in love. They decide that it is better to put their faith in being powerful, in being dominant.",bell hooks,"abuse, commitment, love, men, relationships, women"
There is always something left to love.,"Gabriel García Márquez, One Hundred Years of Solitude",love
We must love one another or die,W.H. Auden,love
"It happens like this. ""One day you meet someone and for some inexplicable reason, you feel more connected to this stranger than anyone else--closer to them than your closest family. Perhaps this person carries within them an angel--one sent to you for some higher purpose; to teach you an important lesson or to keep you safe during a perilous time. What you must do is trust in them--even if they come hand in hand with pain or suffering--the reason for their presence will become clear in due time.""Though here is a word of warning--you may grow to love this person but remember they are not yours to keep. Their purpose isn't to save you but to show you how to save yourself. And once this is fulfilled; the halo lifts and the angel leaves their body as the person exits your life. They will be a stranger to you once more.-------------------------------------------------It's so dark right now, I can't see any light around me. That's because the light is coming from you. You can't see it but everyone else can.","Lang Leav, Love & Misadventure","angels, beautiful, love, magic, saviour, soulmate, words"
"You say you love rain, but you use an umbrella to walk under it. You say you love sun, but you seek shelter when it is shining. You say you love wind, but when it comes you close your windows. So that's why I'm scared when you say you love me.",Bob Marley,"bob-marley, famous, love, marely"
"If a thing loves, it is infinite.",William Blake,love
"I'm lonely. Why do you think I had to learn to act so independent? I also get mad too quickly, and I hog the covers, and my second toe is longer than my big one. My hair has it's own zip code. Plus, I get certifiably crazy when I've got PMS. You don't love someone because they're perfect. You love them in spite of the fact that they're not.","Jodi Picoult, My Sister's Keeper",love
Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.,"Roy T. Bennett, The Light in the Heart","being-human, goodness, human, human-nature, humanism, humanity, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quote, inspirational-quotes, inspire, inspiring, kindness, life, life-and-living, life-lessons, life-philosophy, life-quotes, living, love, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, smile, smiles"
Love is a better master than duty.,Albert Einstein,love
"Mama, Mama, help me get homeI'm out in the woods, I am out on my own.I found me a werewolf, a nasty old muttIt showed me its teeth and went straight for my gut.Mama, Mama, help me get homeI'm out in the woods, I am out on my own.I was stopped by a vampire, a rotting old wreckIt showed me its teeth and went straight for my neck.Mama, Mama, put me to bedI won't make it home, I'm already half-dead.I met an Invalid, and fell for his artHe showed me his smile, and went straight for my heart.-From ""A Child's Walk Home,"" Nursery Rhymes and Folk Tales","Lauren Oliver, Delirium","love, vampire, werewolf"
"It doesn't matter who you are or what you look like, so long as somebody loves you.","Roald Dahl, The Witches",love
You are like nobody since I love you.,Pablo Neruda,love
"He dug so deeply into her sentiments that in search of interest he found love, because by trying to make her love him he ended up falling in love with her. Petra Cotes, for her part, loved him more and more as she felt his love increasing, and that was how in the ripeness of autumn she began to believe once more in the youthful superstition that poverty was the servitude of love. Both looked back then on the wild revelry, the gaudy wealth, and the unbridled fornication as an annoyance and they lamented that it had cost them so much of their lives to find the paradise of shared solitude. Madly in love after so many years of sterile complicity, they enjoyed the miracle of living each other as much at the table as in bed, and they grew to be so happy that even when they were two worn-out people they kept on blooming like little children and playing together like dogs.","Gabriel García Márquez, One Hundred Years of Solitude","companionship, love, romance"
"After all this time?""""Always...","J.K. Rowling, Harry Potter and the Deathly Hallows",love
There is nothing more truly artistic than to love people.,Vincent van Gogh,"art, love"
"In love, no question is ever preposterous.","André Brink, Before I Forget",love
"Love, n. A temporary insanity curable by marriage.","Ambrose Bierce, The Unabridged Devil's Dictionary","insanity, love, marriage"
"i like my body when it is with yourbody. It is so quite new a thing.Muscles better and nerves more.i like your body. i like what it does,i like its hows. i like to feel the spineof your body and its bones, and the trembling-firm-smooth ness and which i willagain and again and againkiss, i like kissing this and that of you,i like, slowly stroking the, shocking fuzzof your electric fur, and what-is-it comesover parting flesh ... And eyes big love-crumbs,and possibly i like the thrillof under me you so quite new.",E.E. Cummings,"love, poetry"
No woman wants to be in submission to a man who isn't in submission to God!,T.D. Jakes,"christian, god, love, marriage, men, religion, spirituality, women"
"I love mankind, he said, ""but I find to my amazement that the more I love mankind as a whole, the less I love man in particular.","Fyodor Dostoyevsky, The Brothers Karamazov","humanity, individuals, love, mankind"
"You only need one man to love you. But him to love you free like a wildfire, crazy like the moon, always like tomorrow, sudden like an inhale and overcoming like the tides. Only one man and all of this.",C. JoyBell C.,"inspirational, inspirational-love, inspiring, love, men, passion, real-love, the-love-of-a-man, true-love"
"Despite your best efforts, people are going to be hurt when it's time for them to be hurt.","Haruki Murakami, Norwegian Wood","endurance, life, loss, love"
"The greatest happiness of life is the conviction that we are loved -- loved for ourselves, or rather, loved in spite of ourselves.",Victor Hugo,love
"She didn't understand that. ""How can anyone be afraid of love?""""How can they not?"" His face was completely aghast. ""When you love someone... truly love them, friend or lover, you lay your heart open to them. You give them a part of yourself that you give to no one else, and you let them inside a part of you that only they can hurt—you literally hand them the razor with a map of where to cut deepest and most painfully on your heart and soul. And when they do strike, it's crippling—like having your heart carved out. It leaves you naked and exposed, wondering what you did to make them want to hurt you so badly when all you did was love them. What is so wrong with you that no one can keep faith with you? That no one can love you? To have it happen once is bad enough... but to have it repeated? Who in their right mind would not be terrified of that?","Sherrilyn Kenyon, Devil May Cry","archeron, ash, kat, katra, love"
"Your mother died to save you. If there is one thing Voldemort cannot understand, it is love. Love as powerful as your mother's for you leaves it's own mark. To have been loved so deeply, even though the person who loved us is gone, will give us some protection forever.","J.K. Rowling, Harry Potter and the Sorcerer's Stone","death, love"
"No matter how much you think you love somebody, you'll step back when the pool of their blood edges up too close.","Chuck Palahniuk, Invisible Monsters",love
"Of course I’ll hurt you. Of course you’ll hurt me. Of course we will hurt each other. But this is the very condition of existence. To become spring, means accepting the risk of winter. To become presence, means accepting the risk of absence.","Antoine de Saint-Exupéry, Manon, Ballerina","absence, existence, fear, hurt, love, risk"
"They say a good love is one that sits you down, gives you a drink of water, and pats you on top of the head. But I say a good love is one that casts you into the wind, sets you ablaze, makes you burn through the skies and ignite the night like a phoenix; the kind that cuts you loose like a wildfire and you can't stop running simply because you keep on burning everything that you touch! I say that's a good love; one that burns and flies, and you run with it!",C. JoyBell C.,"burning, fire, flames, freedom, inspirational-life, inspirational-love, inspirational-love-quotes, inspirational-quotes, inspiring, love, loving-someone, passion, real-love, running, true-love"
"He made a sound like a choked laughed before he reached out and pulled her into her arms. She was aware of Luke watching them from the window, but she shut her eyes resolutely and buried her face against Jace's shoulder. He smelled of salt and blood, and only when his mouth came close to her ear did she understand what he was saying, and it was the simplest litany of all: her name, just her name.","Cassandra Clare, City of Bones","ardor, city-of-bones, clary-fray, jace-wayland, love"
"People always fall in love with the most perfect aspects of each other’s personalities. Who wouldn’t? Anybody can love the most wonderful parts of another person. But that’s not the clever trick. The really clever trick is this: Can you accept the flaws? Can you look at your partner’s faults honestly and say, ‘I can work around that. I can make something out of it.’? Because the good stuff is always going to be there, and it’s always going to pretty and sparkly, but the crap underneath can ruin you.","Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage","dating, love, marriage"
"Happily ever after, or even just together ever after, is not cheesy,” Wren said. “It’s the noblest, like, the most courageous thing two people can shoot for.","Rainbow Rowell, Fangirl","happiness, happy-endings, love"
"No,"" Dimitri interrupted gently. He moved his face toward mine, our foreheads nearly touching. ""It won't happen to you. You're too strong. You'll fight it, just like you did thistime.""""I only did because you were here."" He wrapped his arms around me, and I buried my face in his chest. ""I can't do it by myself,"" I whispered.""You can,"" he said. There was a tremulous note in his voice. ""You're strong—you're so, so strong. It's why I love you.","Richelle Mead, Shadow Kiss","love, vampire-academy"
What greater gift than the love of a cat.,Charles Dickens,"cats, gifts, love"
We are all worthy of one another.,"Edward P. Jones, The Known World","love, worthiness"
"Love is an abstract noun, something nebulous. And yet love turns out to be the only part of us that is solid, as the world turns upside down and the screen goes black.","Martin Amis, The Second Plane: 14 Responses to September 11",love
"If someone thinks that peace and love are just a cliche that must have been left behind in the 60s, that's a problem. Peace and love are eternal.",John Lennon,"1960s, beatles, love, peace, sixties"
"Love cannot be reduced to a catalogue of reasons why, and a catalogue of reasons cannot be put together into love.","Eleanor Catton, The Luminaries",love
The fate of your heart is your choice and no one else gets a vote,"Sarah Dessen, This Lullaby",love
"The damage was permanent; there would always be scars. But even the angriest scars faded over time until it was difficult to see them written on the skin at all, and the only thing that remained was the memory of how painful it had been.",Jodi Picoult,"inspirational, love, pain"
If there's a thing I've learned in my life it's to not be afraid of the responsibility that comes with caring for other people. What we do for love: those things endure. Even if the people you do them for don't,Cassandra Clare,"life, life-lesson, love"
"He stared at her, knowing with certainty that he was falling in love. He pulled her close and kissed her beneath a blanket of stars, wondering how on earth he'd been lucky enough to find her.","Nicholas Sparks, The Last Song",love
"You two are too cute,” the counter girl said, setting two cups piled with whipped cream on the counter. She had a sort of lopsided, open smile that made me think she laughed a lot. “Seriously. How long have you been going out?”Sam let go of my hands to get his wallet and took out some bills. “Six years.”I wrinkled my nose to cover a laugh. Of course he would count the time that we’d been two entirely different species.Whoa.” Counter girl nodded appreciatively. “That’s pretty amazing for a couple your age.""Sam handed me my hot chocolate and didn’t answer. But his yellow eyes gazed at me possessively—I wondered if he realized that the way he looked at me was far more intimate than copping a feel could ever be.I crouched to look at the almond bark on the bottom shelf in the counter. I wasn’t quite bold enough to look at either of them when I admitted, “Well, it was love at first sight.”The girl sighed. “That is just so romantic. Do me a favor, and don’t you two ever change. The world needs more love at first sight.","Maggie Stiefvater, Shiver","first, love, romantic, sight"
The scariest thing about distance is that you don’t know whether they’ll miss you or forget you.,"Nicholas Sparks, The Notebook","distance, love"
"You're beautiful, but you're empty...One couldn't die for you. Of course, an ordinary passerby would think my rose looked just like you. But my rose, all on her own, is more important than all of you together, since she's the one I've watered. Since she's the one I put under glass, since she's the one I sheltered behind the screen. Since she's the one for whom I killed the caterpillars (except the two or three butterflies). Since she's the one I listened to when she complained, or when she boasted, or even sometimes when she said nothing at all. Since she's my rose.","Antoine de Saint-Exupéry, The Little Prince","caring, inspirational, love, roses, uniqueness"
"To say that one waits a lifetime for his soulmate to come around is a paradox. People eventually get sick of waiting, take a chance on someone, and by the art of commitment become soulmates, which takes a lifetime to perfect.","Criss Jami, Venus in Arms","chances, commitment, courtship, dating, faithfulness, friendship, love, marriage, mates, patience, relationships, risk-taking, soulmates, waiting-for-true-love"
Lovers alone wear sunlight.,E.E. Cummings,"adoration, love, poetry"
Oh no. Don't smile. You'll kill me. I stop breathing when you smile.,"Tessa Dare, A Lady of Persuasion","breathing, desire, humor, love, romance, smile, tease"
"Real isn't how you are made,' said the Skin Horse. 'It's a thing that happens to you. When a child loves you for a long, long time, not just to play with, but REALLY loves you, then you become Real.''Does it hurt?' asked the Rabbit. 'Sometimes,' said the Skin Horse, for he was always truthful. 'When you are Real you don't mind being hurt.' 'Does it happen all at once, like being wound up,' he asked, 'or bit by bit?' 'It doesn't happen all at once,' said the Skin Horse. 'You become. It takes a long time. That's why it doesn't happen often to people who break easily, or have sharp edges, or who have to be carefully kept. Generally, by the time you are Real, most of your hair has been loved off, and your eyes drop out and you get loose in the joints and very shabby. But these things don't matter at all, because once you are Real you can't be ugly, except to people who don't understand.","Margery Williams Bianco, The Velveteen Rabbit","acceptance, ageing, authenticity, becoming, being-loved, being-real, love"
"No matter how old you are now. You are never too young or too old for success or going after what you want. Here’s a short list of people who accomplished great things at different ages1) Helen Keller, at the age of 19 months, became deaf and blind. But that didn’t stop her. She was the first deaf and blind person to earn a Bachelor of Arts degree.2) Mozart was already competent on keyboard and violin; he composed from the age of 5.3) Shirley Temple was 6 when she became a movie star on “Bright Eyes.”4) Anne Frank was 12 when she wrote the diary of Anne Frank.5) Magnus Carlsen became a chess Grandmaster at the age of 13.6) Nadia Comăneci was a gymnast from Romania that scored seven perfect 10.0 and won three gold medals at the Olympics at age 14.7) Tenzin Gyatso was formally recognized as the 14th Dalai Lama in November 1950, at the age of 15.8) Pele, a soccer superstar, was 17 years old when he won the world cup in 1958 with Brazil.9) Elvis was a superstar by age 19.10) John Lennon was 20 years and Paul Mcartney was 18 when the Beatles had their first concert in 1961.11) Jesse Owens was 22 when he won 4 gold medals in Berlin 1936.12) Beethoven was a piano virtuoso by age 2313) Issac Newton wrote Philosophiæ Naturalis Principia Mathematica at age 2414) Roger Bannister was 25 when he broke the 4 minute mile record15) Albert Einstein was 26 when he wrote the theory of relativity16) Lance E. Armstrong was 27 when he won the tour de France 17) Michelangelo created two of the greatest sculptures “David” and “Pieta” by age 2818) Alexander the Great, by age 29, had created one of the largest empires of the ancient world19) J.K. Rowling was 30 years old when she finished the first manuscript of Harry Potter20) Amelia Earhart was 31 years old when she became the first woman to fly solo across the Atlantic Ocean21) Oprah was 32 when she started her talk show, which has become the highest-rated program of its kind22) Edmund Hillary was 33 when he became the first man to reach Mount Everest23) Martin Luther King Jr. was 34 when he wrote the speech “I Have a Dream.""24) Marie Curie was 35 years old when she got nominated for a Nobel Prize in Physics 25) The Wright brothers, Orville (32) and Wilbur (36) invented and built the world's first successful airplane and making the first controlled, powered and sustained heavier-than-air human flight26) Vincent Van Gogh was 37 when he died virtually unknown, yet his paintings today are worth millions.27) Neil Armstrong was 38 when he became the first man to set foot on the moon.28) Mark Twain was 40 when he wrote ""The Adventures of Tom Sawyer"", and 49 years old when he wrote ""Adventures of Huckleberry Finn""29) Christopher Columbus was 41 when he discovered the Americas30) Rosa Parks was 42 when she refused to obey the bus driver’s order to give up her seat to make room for a white passenger31) John F. Kennedy was 43 years old when he became President of the United States32) Henry Ford Was 45 when the Ford T came out.33) Suzanne Collins was 46 when she wrote ""The Hunger Games""34) Charles Darwin was 50 years old when his book On the Origin of Species came out.35) Leonardo Da Vinci was 51 years old when he painted the Mona Lisa.36) Abraham Lincoln was 52 when he became president.37) Ray Kroc Was 53 when he bought the McDonalds Franchise and took it to unprecedented levels.38) Dr. Seuss was 54 when he wrote ""The Cat in the Hat"".40) Chesley ""Sully"" Sullenberger III was 57 years old when he successfully ditched US Airways Flight 1549 in the Hudson River in 2009. All of the 155 passengers aboard the aircraft survived41) Colonel Harland Sanders was 61 when he started the KFC Franchise42) J.R.R Tolkien was 62 when the Lord of the Ring books came out43) Ronald Reagan was 69 when he became President of the US44) Jack Lalane at age 70 handcuffed, shackled, towed 70 rowboats45) Nelson Mandela was 76 when he became President",Pablo,"age, confidence, discipline, effort, excuses, failure, faith, isnpiration, love, motivation, olympics, opportunities, opportunity, president, success"
"The greatest disease in the West today is not TB or leprosy; it is being unwanted, unloved, and uncared for. We can cure physical diseases with medicine, but the only cure for loneliness, despair, and hopelessness is love. There are many in the world who are dying for a piece of bread but there are many more dying for a little love. The poverty in the West is a different kind of poverty -- it is not only a poverty of loneliness but also of spirituality. There's a hunger for love, as there is a hunger for God.","Mother Teresa, A Simple Path: Mother Teresa","inspiration, love, medicine, poverty, spirituality, uncaring"
"Because, if you could love someone, and keep loving them, without being loved back . . . then that love had to be real. It hurt too much to be anything else.","Sarah Cross, Kill Me Softly","kill-me-softly, love, real-love, sarah-cross, unrequited-love"
"The great tragedy of life is not that men perish, but that they cease to love.",W. Somerset Maugham,love
"Do I love you? My God, if your love were a grain of sand, mine would be a universe of beaches.","William Goldman, The Princess Bride","adoration, ardor, love"
"In real life, love has to be possible. Even if it is not returned right away, love can only survive when the hope exists that you will be able to win over the person you desire.","Paulo Coelho, By the River Piedra I Sat Down and Wept",love
I think it is all a matter of love the more you love a memory the stronger and stranger it becomes ,Vladimir Nabokov,"infatuation, love, memory, recollection, remembrance"
There's a difference between really loving someone and loving the idea of her.,"Gillian Flynn, Gone Girl","idealizations, love"
"He is beauty, inside and out.He is the silver lining in a world of darkness.He is my light.","Marie Lu, Prodigy","day, june, love"
Anyone who loves in the expectation of being loved in return is wasting their time.,"Paulo Coelho, The Devil and Miss Prym",love
Nothing ever happens like you imagine it will,"John Green, Paper Towns","life, love, margo-roth-spiegelman, truth"
"When you love someone, you say their name different. Like it's safe inside your mouth.","Jodi Picoult, Handle with Care",love
"I don't want to lose you.' His voice almost a whisper. Seeing his haggard expression, she took his hand and squeezed it, then reluctantly let it go. She could feel the tears again, and she fought them back. 'But you don't want to keep me, either, do you?' To that, he had no response.","Nicholas Sparks, The Rescue",love
"If a girl starts out all casual with a guy and she doesn't tell him that she wants a relationship, it will never become a relationship. If you give the guy the impression that casual is okay with you, that's all he'll ever want. Be straight with him from the start. If he gets scared and runs away, he wasn't right for you.","Susane Colasanti, Waiting for You","dating-advice, love, relationships"
I think we ought to live happily ever after.,"Diana Wynne Jones, Howl's Moving Castle","happily-ever-after, love"
"Unless you love someone, nothing else makes sense.",E.E. Cummings,love
"I want morning and noon and nightfall with you. I want your tears, your smiles, your kisses...the smell of your hair, the taste of your skin, the touch of your breath on my face. I want to see you in the final hour of my life...to lie in your arms as I take my last breath.","Lisa Kleypas, Again the Magic","longing, love, lovers, reunion"
"With him, life was routine; without him, life was unbearable.","Harper Lee, To Kill a Mockingbird",love
"Snape's patronus was a doe,' said Harry, 'the same as my mother's because he loved her for nearly all of his life, from when they were children.","J.K. Rowling, Harry Potter and the Deathly Hallows","fidelity, infatuation, love, unrequited-love"
"Wherever you will go, I will let you down, But this lullaby goes on.","Sarah Dessen, This Lullaby","abandonment, love, lullaby, song"
"Love and compassion are necessities, not luxuries. Without them, humanity cannot survive.","Dalai Lama XIV, The Art of Happiness","compassion, humanity, love, mankind"
"If you can capture a woman's imagination, then you will have her. But imagination is a strange creature. It needs time and distance to function properly.",Kathleen Tessaro,"love, romance"
"It’s dark now and I am very tired. I love you, always. Time is nothing.","Audrey Niffenegger, The Time Traveler's Wife","love, time"
Every atom of your flesh is as dear to me as my own: in pain and sickness it would still be dear.,"Charlotte Brontë, Jane Eyre","adoration, fidelity, love"
